,run_uuid,hostname,run_num,total_runs,exp_command,exp_number,order_number,order_type,time_start,time_stop,completion_status,result
4690,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b cg -t MT -s 100 -u 200,2,0,random,93.896718017,93.911754358,Success,10.894
4691,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,1,random,93.912065798,93.921113772,Success,4.463
4692,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,2,random,93.921400304,93.961784777,Success,27.957
4693,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b mg -t MT -s 100 -u 200,7,3,random,93.962090172,93.975593154,Success,10.416
4694,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,4,random,93.975895337,93.984259974,Success,3.526
4696,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,6,random,94.011405889,94.018941853,Success,1.972
4697,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,7,random,94.019225383,94.029485612,Success,6.868
4698,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ua -t MT -s 100 -u 200,9,8,random,94.029770049,94.038495791,Success,3.591
4699,882cc019-3104-11ec-bbd2-1458d0584f82,hp065.utah.cloudlab.us,229,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,9,random,94.0387896,94.048031216,Success,4.93
4700,68eb3d85-3105-11ec-bb14-1458d0584f82,hp065.utah.cloudlab.us,230,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b bt -t MT -s 100 -u 200,1,0,random,94.089739702,94.10199505,Success,6.85
4701,68eb3d85-3105-11ec-bb14-1458d0584f82,hp065.utah.cloudlab.us,230,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b lu -t MT -s 100 -u 200,6,1,random,94.102298942,94.110885467,Success,3.588
4702,68eb3d85-3105-11ec-bb14-1458d0584f82,hp065.utah.cloudlab.us,230,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ft -t MT -s 100 -u 200,4,2,random,94.111175427,94.120590634,Success,4.902
4703,68eb3d85-3105-11ec-bb14-1458d0584f82,hp065.utah.cloudlab.us,230,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b ep -t MT -s 100 -u 200,3,3,random,94.120875677,94.128311579,Success,1.945
4704,68eb3d85-3105-11ec-bb14-1458d0584f82,hp065.utah.cloudlab.us,230,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b sp -t MT -s 100 -u 200,8,4,random,94.128598688,94.137744763,Success,4.47
4705,68eb3d85-3105-11ec-bb14-1458d0584f82,hp065.utah.cloudlab.us,230,240,/bin/bash ~/os-benchmarks/scripts/run_cpu.sh -n 0 -d 1 -b is -t MT -s 100 -u 200,5,5,random,94.138039619,94.179013376,Success,28.034
